Dados da Atividade 1

Ângulo (+/- 1 grau)     0 +/- 1 grau (+/- 0,01 V)     20 +/- 1 grau (+/- 0,01 V)     52 +/- 1 grau (+/- 0,01 V)
0                       4,44                           3,77                          0,86
3                       4,43                           3,92                          0,93
6                       4,38                           4,00                          1,04
8                       4,36                           4,10                          1,15
11                      4,33                           4,12                          1,26
14                      4,19                           4,20                          1,35
17                      4,15                           4,21                          1,46
20                      4,02                           4,21                          1,55
23                      3,88                           4,21                          1,63
25                      3,72                           4,10                          1,73
28                      3,58                           4,08                          1,80
31                      3,37                           3,96                          1,87
34                      3,20                           3,86                          1,93
37                      3,00                           3,74                          1,99
39                      2,83                           3,64                          2,03
42                      2,61                           3,48                          2,05
45                      2,38                           3,36                          2,08
48                      2,21                           3,17                          2,12
51                      1,98                           3,02                          2,13
53                      1,78                           2,83                          2,12
56                      1,59                           2,64                          2,12
59                      1,38                           2,40                          2,09
62                      1,20                           2,22                          2,07
65                      1,02                           2,00                          2,03
68                      0,84                           1,79                          1,99
70                      0,69                           1,61                          1,94
73                      0,54                           1,43                          1,87
76                      0,41                           1,23                          1,80
79                      0,30                           1,04                          1,73
82                      0,20                           0,85                          1,63
84                      0,12                           0,69                          1,53
87                      0,07                           0,55                          1,42
90                      0,03                           0,41                          1,34
93                      0,02                           0,30                          1,20
96                      0,03                           0,20                          1,10
98                      0,07                           0,12                          0,99
101                     0,12                           0,07                          0,89
104                     0,19                           0,04                          0,78
107                     0,29                           0,02                          0,69
110                     0,40                           0,02                          0,59
113                     0,52                           0,04                          0,51
115                     0,65                           0,08                          0,42
118                     0,82                           0,14                          0,34
121                     1,00                           0,21                          0,28
124                     1,20                           0,32                          0,22
127                     1,37                           0,42                          0,16
129                     1,57                           0,55                          0,11
132                     1,81                           0,67                          0,08
135                     2,03                           0,83                          0,05
138                     2,23                           1,00                          0,03
141                     2,41                           1,18                          0,02
143                     2,61                           1,34                          0,01
146                     2,80                           1,54                          0,03
149                     3,01                           1,71                          0,04
152                     3,16                           1,90                          0,07
155                     3,32                           2,10                          0,10
158                     3,43                           2,31                          0,14
160                     3,59                           2,56                          0,20
163                     3,72                           2,71                          0,26
166                     3,84                           2,89                          0,33
169                     3,99                           3,07                          0,41
172                     4,08                           3,33                          0,50
174                     4,14                           3,49                          0,59
177                     4,22                           3,60                          0,70
